City,Zip Code,County,Latitude,Longitude,,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
,,,,,,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Union City,7087,Hudson,40.767751,-74.0302,,66455,66439,66433,67419,67827,68222,68301,68120,68373,68472,68520
Ventnor City,8406,Atlantic,39.342299,-74.48192,,10650,10650,10642,10623,10592,10550,10468,10341,10197,10101,10039
Vineland,8360,Cumberland,39.492265,-75.01887,,60724,60737,60821,60984,60926,60879,60899,60606,60339,59972,59966
Waldwick,7463,Bergen,41.013109,-74.12231,,9625,9581,9595,9662,9721,9767,9801,9912,9899,9915,10207
Wallington,7057,Bergen,40.852931,-74.10925,,11335,11335,11346,11436,11469,11512,11537,11571,11560,11595,11591
Wanaque,7465,Passaic,41.052958,-74.28236,,11116,11073,11082,11294,11384,11494,11647,11666,11678,11725,11741
Washington,7882,Warren,40.753753,-74.99617,,6461,6461,6447,6423,6461,6471,6511,6493,6459,6464,6452
Watchung,7069,Somerset,40.641207,-74.443695,,5801,5983,5998,6020,6047,6054,6044,6020,6025,6038,6055
West Long Branch,7764,Monmouth,40.289985,-74.01671,,8097,8084,8077,7967,7975,7956,7834,7940,7941,7930,7909
West New York,7093,Hudson,40.7895,-74.01223,,49708,49700,49834,50501,50852,51256,51540,52552,52615,52733,52990
Westfield,7090,Union,40.649202,-74.34567,,30316,30296,30337,30380,30407,30466,30355,30224,30055,29939,29881
Westwood,7675,Bergen,40.99904,-74.03291,,10908,10927,10952,11018,11050,11076,11097,11127,11111,11147,11155
Wharton,7885,Morris,40.913298,-74.58246,,6522,6534,6536,6557,6560,6560,6542,6541,6518,6498,6457
Wood Ridge,7075,Bergen,40.847638,-74.08754,,7626,7628,7637,7684,7836,7850,7856,8148,8506,8875,9159
Woodbury,8096,Gloucester,39.830313,-75.13221,,10174,10151,10150,10117,10068,10022,9991,9966,9912,9877,9852
Woodcliff Lake,7677,Bergen,41.025101,-74.059762,,5730,5715,5719,5743,5763,5758,5778,5836,5820,5803,5862
