Rank,School,Address,City,Municipal ID,Zip,District,Full_Address,Latitude,Longitude,EduScore
76,Middlesex County Vocational School East Bruns. School of Career Develop,112 Rues Lane,East Brunswick,1204,8816,Middlesex County Vocational and Technical School District,"112 Rues Lane, East Brunswick, NJ 08816",40.4220816,-74.3860123,24
77,Hanover Park High School,63 Mt Pleasant Avenue,East Hanover,1410,7936,Hanover Park Regional High School District,"63 Mt Pleasant Avenue, East Hanover, NJ 07936",40.8041642,-74.3730725,403
78,East Orange STEM Academy High School,129 Renshaw Avenue,East Orange,705,7017,East Orange School District,"129 Renshaw Avenue, East Orange, NJ 07017",40.7768634,-74.2037167,353
79,Cicely L. Tyson Community Middle/High School,35 Winans Street,East Orange,705,7017,East Orange School District,"35 Winans Street, East Orange, NJ 07017",40.764012,-74.210664,188
80,East Orange Campus High School,344 Prospect Street,East Orange,705,7017,East Orange School District,"344 Prospect Street, East Orange, NJ 07017",40.776098,-74.2074603,30
81,Henry P. Becton Regional High School,120 Paterson Avenue,East Rutherford,212,7073,Carlstadt-East Rutherford Regional High School District,"120 Paterson Avenue, East Rutherford, NJ 07073",40.8322214,-74.0929792,150
82,Middlesex County Vocational Academy Math Science &Engineering Techn,100 Technology Drive,Edison,1205,8837,Middlesex County Vocational and Technical School District,"100 Technology Drive, Edison, NJ 08837",40.5045558,-74.3695502,498
83,John P. Stevens High School,855 Grove Avenue,Edison,1205,8820,Edison Township School District,"855 Grove Avenue, Edison, NJ 08820",40.5802663,-74.3614965,465
84,Edison High School,50 Boulevard Of The Eagles,Edison,1205,8817,Edison Township School District,"50 Boulevard Of The Eagles, Edison, NJ 08817",40.5143871,-74.3863107,325
85,Cedar Creek High School,1701 New York Ave.,Egg Harbor City,107,8215,Greater Egg Harbor Regional High School District,"1701 New York Ave., Egg Harbor City, NJ 08215",39.5517617,-74.6280383,200
86,Egg Harbor Township High School,24 High School Drive,Egg Harbor Township,108,8234,Egg Harbor Township School District,"24 High School Drive, Egg Harbor Township, NJ 08234",39.3947754,-74.6285146,292
87,Elizabeth High School - Frank J Cicarell Academy,40 Morrell Street,Elizabeth,2004,7202,Elizabeth Public Schools,"40 Morrell Street, Elizabeth, NJ 07202",40.6634263,-74.2105038,315
88,Alexander Hamilton Preparatory Academy,310 Cherry St,Elizabeth,2004,7208,Elizabeth Public Schools,"310 Cherry St, Elizabeth, NJ 07208",40.6680001,-74.221922,216
89,Thomas Jefferson Arts Academy,27 Martin Luther King Jr Plaza,Elizabeth,2004,7201,Elizabeth Public Schools,"27 Martin Luther King Jr Plaza, Elizabeth, NJ 07201",40.6627922,-74.2109136,107
90,John E. Dwyer Technology Academy,123 Pearl St,Elizabeth,2004,7202,Elizabeth Public Schools,"123 Pearl St, Elizabeth, NJ 07202",40.6603569,-74.212429,52
91,Thomas A. Edison Career and Technical Academy,625 Summer St,Elizabeth,2004,7202,Elizabeth Public Schools,"625 Summer St, Elizabeth, NJ 07202",40.6507362,-74.2116043,35
92,J. Christian Bollwage Finance Academy,447 Richmond Street,Elizabeth,2004,7202,Elizabeth Public Schools,"447 Richmond Street, Elizabeth, NJ 07202",40.6448049,-74.2095864,33
93,Admiral William F. Halsey Junior Health & Public Safety Academy,641 South Street,Elizabeth,2004,7202,Elizabeth Public Schools,"641 South Street, Elizabeth, NJ 07202",40.6591685,-74.2120274,31
