,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
15,HOLLAND TWP,40.744851,-74.03294,52,"11,084,677","213,167"
16,KINGWOOD TWP,40.744851,-74.03294,26,"6,608,525","254,174"
17,LAMBERTVILLE CITY ,40.744851,-74.03294,35,"6,697,400","191,354"
18,LEBANON BORO,40.744851,-74.03294,33,"5,928,700","179,658"
19,LEBANON TWP,40.744851,-74.03294,73,"17,300,575","236,994"
20,MILFORD BORO,40.587606,-75.10402,16,"2,529,400","158,088"
21,RARITAN TWP,40.571302,-74.6374,402,"87,483,565","217,621"
22,READINGTON TWP,40.563654,-74.949409,283,"71,702,391","253,365"
23,STOCKTON BORO,40.500254,-74.4257,9,"1,480,800","164,533"
24,TEWKSBURY TWP,40.500254,-74.4257,80,"41,696,200","521,203"
25,UNION TWP,40.500254,-74.4257,126,"24,000,963","190,484"
26,WEST AMWELL TWP,40.500254,-74.4257,8,"1,685,401","210,675"
1,EAST WINDSOR TWP,40.770933,-74.20589,368,"47,128,215","128,066"
2,EWING TWP,40.827499,-74.28091,433,"57,783,116","133,448"
3,HAMILTON TWP,40.80495,-74.2047,957,"122,002,877","127,485"
4,HIGHTSTOWN BORO,40.745951,-74.15509,75,"9,154,816","122,064"
5,HOPEWELL BORO,40.744851,-74.03294,32,"6,988,600","218,394"
6,HOPEWELL TWP,40.744851,-74.03294,198,"56,668,470","286,204"
7,LAWRENCE TWP,40.744851,-74.03294,454,"77,125,407","169,880"
8,PENNIGTON BORO,40.461851,-74.30343,29,"8,941,253","308,319"
9,PRINCETON BORO,40.583035,-74.96224,106,"37,482,050","353,604"
10,PRINCETON TWP,40.583035,-74.96224,243,"117,333,136","482,852"
11,TRENTON CITY,40.500254,-74.4257,303,"22,295,304","73,582"
12,ROBBINSVILLE TWP,40.563654,-74.949409,245,"43,091,383","175,883"
13,WEST WINDSOR TWP,40.500254,-74.4257,415,"116,781,894","281,402"
1,CARTERET BORO,40.582504,-74.22997,223,"29,413,940","131,901"
2,CRANBURY TWP,40.879699,-74.14263,36,"13,397,050","372,140"
3,DUNELLEN BORO,40.656302,-74.30371,115,"16,299,614","141,736"
4,EAST BRUNSWICK TWP,40.656302,-74.30371,711,"130,549,065","183,613"
5,EDISON TWP,40.830733,-73.97334,"1,204","225,831,128","187,567"
6,HELMETTA BORO,40.745951,-74.15509,51,"5,384,250","105,574"
7,HIGHLAND PARK BORO,40.745951,-74.15509,160,"29,418,249","183,864"
8,JAMESBURG BORO,40.744851,-74.03294,96,"12,339,485","128,536"
9,METUCHEN BORO,40.502477,-74.650023,234,"47,883,005","204,628"
10,MIDDLESEX BORO,40.574552,-74.50187,117,"18,220,310","155,729"
11,MILLTOWN BORO,40.451105,-74.43938,99,"17,754,018","179,334"
12,MONROE TWP,40.389428,-74.54329,474,"78,902,022","166,460"
13,NEW BRUNSWICK CITY,40.51057,-74.72472,235,"30,027,194","127,775"
14,NORTH BRUNSWICK TWP,40.51057,-74.72472,595,"93,360,415","156,908"
15,OLD BRIDGE TWP,40.51057,-74.72472,960,"159,029,181","165,655"
16,PERTH AMBOY CITY,40.535304,-74.31104,446,"55,649,098","124,774"
17,PISCATAWAY TWP,40.689123,-75.17243,602,"100,351,347","166,697"
18,PLAINSBORO TWP,40.583035,-74.96224,326,"52,307,074","160,451"
19,SAYREVILLE BORO,40.430006,-74.417344,526,"80,466,445","152,978"
20,SOUTH AMBOY CITY,40.469606,-74.27669,108,"14,131,618","130,848"
21,SOUTH BRUNSWICK TWP,40.553803,-74.52976,593,"110,013,369","185,520"
22,SOUTH PLAINSFIELD BORO,40.553803,-74.52976,262,"42,412,884","161,881"
23,SOUTH RIVER BORO,40.445006,-74.38179,211,"30,321,381","143,703"
24,SPOTSWOOD BORO,40.39159,-74.39329,121,"17,732,650","146,551"
25,WOODBRIDGE TWP,40.500254,-74.4257,"1,290","186,150,251","144,303"
1,ABERDEEN TWP,40.4171,-74.2221,314,"43,573,815","138,770"
2,ALLENHURST BORO,40.2362,-74.0007,12,"5,784,000","482,000"
3,ALLENTOWN BORO,40.1779,-74.5835,22,"3,554,700","161,577"
4,ASBURY PARK CITY,40.2204,-74.0121,148,"12,138,396","82,016"
5,ATLANTIC HIGHLANDS BORO,40.4129,-74.0329,89,"19,787,700","222,334"
6,AVON-BY-THE-SEA BOR,40.578996,-74.27987,15,"5,552,000","370,133"
7,BELMAR BORO,40.666552,-74.11768,151,"23,356,330","154,678"
8,BRADLEY BEACH BORO,40.912798,-74.41516,145,"24,421,040","168,421"
9,BRIELLE BORO,40.912798,-74.41516,96,"28,399,000","295,823"
10,COLTS NECK TWP,40.879699,-74.14263,146,"69,885,965","478,671"
11,DEAL BORO,40.656302,-74.30371,35,"16,714,000","477,543"
12,EATONTOWN BORO,40.770933,-74.20589,103,"17,735,437","172,189"
13,ENGLISHTOWN BORO,40.830733,-73.97334,27,"3,991,651","147,839"
14,FAIR HAVEN BORO,40.827499,-74.28091,123,"45,904,515","373,207"
15,FARMINGDALE BORO,40.641852,-74.38533,7,"981,850","140,264"
16,FREEHOLD BORO,40.849879,-73.97501,174,"22,338,022","128,379"
17,FREEHOLD TWP,40.849879,-73.97501,592,"109,955,676","185,736"
18,HAZLET TWP,40.745951,-74.15509,210,"32,394,900","154,261"
19,HIGHLANDS BORO,40.745951,-74.15509,154,"20,060,270","130,261"
20,HOLMDEL TWP,40.744851,-74.03294,261,"109,994,544","421,435"
21,HOWELL TWP,40.744851,-74.03294,890,"143,733,627","161,498"
22,INTERLAKEN BORO,40.744851,-74.03294,11,"3,360,400","305,491"
23,KEANSBURG BORO,40.744851,-74.03294,170,"15,383,714","90,492"
24,KEYPORT BORO,40.744851,-74.03294,96,"12,420,439","129,380"
25,LITTLE SILVER BORO,40.850621,-74.04112,156,"51,939,929","332,948"
26,LOCH ARBOUR VILLAGE,40.850621,-74.04112,8,"3,871,500","483,938"
27,LONG BRANCH CITY,40.876349,-74.65769,523,"85,338,742","163,172"
28,MANALAPAN TWP,40.788599,-74.78295,597,"128,210,172","214,757"
29,MANASQUAN BORO,40.788599,-74.78295,154,"38,399,630","249,348"
30,MARLBORO TWP,40.502477,-74.650023,530,"140,887,228","265,825"
31,MATAWAN BORO,40.502477,-74.650023,133,"22,511,949","169,263"
32,MIDDLETOWN TWP,40.574552,-74.50187,"1,079","252,297,076","233,825"
33,MILLSTONE TWP,40.587606,-75.10402,117,"38,658,900","330,418"
34,MONMOUTH BEACH BORO,40.451105,-74.43938,144,"36,981,300","256,815"
35,NEPTUNE TWP,40.389428,-74.54329,447,"65,149,842","145,749"
36,NEPTUNE CITY BORO,40.389428,-74.54329,72,"8,431,600","117,106"
