2006 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
08,PATERSON CITY,"1,807","583,947,039","323,158"
09,POMPTON LAKES BORO,214,"78,347,785","366,111"
10,PROSPECT PARK BORO,91,"33,353,150","366,518"
11,RINGWOOD BORO,180,"76,072,713","422,626"
12,TOTOWA BORO,100,"45,055,031","450,550"
13,WANAQUE BORO,152,"55,245,738","363,459"
14,WAYNE TWP,686,"345,192,864","503,197"
15,WEST MILFORD TWP,522,"171,028,034","327,640"
16,WEST PATERSON BORO,111,"48,713,500","438,860"
,PASSAIC COUNTY,"6,095","2,308,508,519","378,754"
,,,,
17,SALEM COUNTY,,,
01,ALLOWAY TWP,18,"3,024,740","168,041"
02,CARNEYS POINT TWP,112,"15,492,369","138,325"
