2018 Average Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
12,MIDDLESEX COUNTY,,,
01,CARTERET BORO,184 ,"50,558,209 ","274,773 "
02,CRANBURY TWP,43 ,"28,397,937 ","660,417 "
03,DUNELLEN BORO,69 ,"19,579,300 ","283,758 "
04,EAST BRUNSWICK TWP,568 ,"203,634,914 ","358,512 "
05,EDISON TWP,898 ,"350,214,170 ","389,994 "
06,HELMETTA BORO,39 ,"7,945,600 ","203,733 "
07,HIGHLAND PARK BORO,94 ,"33,046,980 ","351,564 "
08,JAMESBURG BORO,41 ,"9,669,995 ","235,854 "
09,METUCHEN BORO,108 ,"43,812,188 ","405,668 "
10,MIDDLESEX BORO,170 ,"47,990,667 ","282,298 "
11,MILLTOWN BORO,82 ,"27,335,100 ","333,355 "
12,MONROE TWP,726 ,"261,635,004 ","360,379 "
13,NEW BRUNSWICK CITY,125 ,"42,567,950 ","340,544 "
14,NORTH BRUNSWICK TWP,322 ,"102,938,315 ","319,684 "
15,OLD BRIDGE TWP,653 ,"222,022,194 ","340,003 "
16,PERTH AMBOY CITY,175 ,"44,332,100 ","253,326 "
17,PISCATAWAY TWP,140 ,"46,385,055 ","331,322 "
18,PLAINSBORO TWP,309 ,"120,858,550 ","391,128 "
19,SAYREVILLE BORO,386 ,"121,515,447 ","314,807 "
20,SOUTH AMBOY CITY,106 ,"33,205,408 ","313,259 "
21,SOUTH BRUNSWICK TWP,422 ,"179,680,479 ","425,783 "
22,SOUTH PLAINFIELD BORO,199 ,"63,766,908 ","320,437 "
23,SOUTH RIVER BORO,120 ,"36,799,473 ","306,662 "
24,SPOTSWOOD BORO,69 ,"20,675,930 ","299,651 "
25,WOODBRIDGE TWP,693 ,"202,781,999 ","292,615 "
,MIDDLESEX COUNTY,"6,741 ","2,321,349,872 ","344,363 "
,,,,
13,MONMOUTH COUNTY,,,
01,ABERDEEN TWP,88 ,"27,854,555 ","316,529 "
02,ALLENHURST BORO,4 ,"9,015,000 ","2,253,750 "
