,City,Lat,Lon,# of Sales,Total Sales Price,Avg Sale Price
18,ROSELAND BORO,40.563654,-74.949409,47,"$25,799,400.00 ","548,923"
19,SOUTH ORANGE VILLAGE TW,40.553803,-74.52976,81,"$53,894,063.00 ","665,359"
20,VERONA TWP,40.500254,-74.4257,214,"$91,422,717.00 ","427,209"
21,WEST CALDWELL TWP,40.500254,-74.4257,93,"$46,022,942.00 ","494,870"
22,WEST ORANGE TWP,40.500254,-74.4257,491,"$192,906,255.00 ","392,884"
1,CLAYTON BORO,40.855854,-74.22898,49,"$8,183,550.00 ","167,011"
2,DEPTFORD TWP,40.656302,-74.30371,250,"$48,025,966.00 ","192,104"
3,EAST GREENWICH TWP,40.656302,-74.30371,129,"$38,832,150.00 ","301,024"
4,ELK TWP,40.830733,-73.97334,21,"$5,313,000.00 ","253,000"
5,FRANKLIN TWP,40.849879,-73.97501,119,"$25,685,990.00 ","215,849"
6,GLASSBORO BORO,40.650802,-74.32351,176,"$34,032,527.00 ","193,367"
7,GREENWICH TWP,40.80495,-74.2047,40,"$6,853,100.00 ","171,328"
8,HARRISON TWP,40.745951,-74.15509,44,"$13,006,900.00 ","295,611"
9,LOGAN TWP,40.877999,-74.08265,59,"$12,804,230.00 ","217,021"
10,MANTUA TWP,40.502477,-74.650023,133,"$28,060,838.00 ","210,984"
11,MONROE TWP,40.389428,-74.54329,249,"$52,154,952.00 ","209,458"
12,NATIONAL PARK BORO,40.389428,-74.54329,17,"$2,219,000.00 ","130,529"
13,NEWFIELD BORO,40.51057,-74.72472,12,"$2,426,700.00 ","202,225"
14,PAULSBORO BORO,40.461851,-74.30343,23,"$3,812,570.00 ","165,764"
15,PITMAN BORO,40.689123,-75.17243,73,"$12,808,739.00 ","175,462"
16,SO HARRISON TWP,40.430006,-74.417344,23,"$7,877,622.00 ","342,505"
17,SWEDESBORO BORO,40.500254,-74.4257,34,"$6,904,163.00 ","203,064"
18,WASHINGTON TWP,40.500254,-74.4257,448,"$103,256,823.00 ","230,484"
19,WENONAH BORO,40.500254,-74.4257,32,"$9,089,900.00 ","284,059"
20,WEST DEPTFORD TWP,40.500254,-74.4257,195,"$38,991,650.00 ","199,957"
21,WESTVILLE BORO,40.500254,-74.4257,27,"$3,646,550.00 ","135,057"
22,WOODBURY CITY,40.500254,-74.4257,74,"$11,424,955.00 ","154,391"
23,WOODBURY HEIGHTS BORO,40.500254,-74.4257,17,"$3,456,700.00 ","203,335"
24,WOOLWICH TWP,40.500254,-74.4257,129,"$40,858,797.00 ","316,735"
1,BAYONNE CITY,40.666552,-74.11768,427,"$135,001,864.00 ","316,164"
2,EAST NEWARK BORO,40.656302,-74.30371,2,"$618,000.00 ","309,000"
3,GUTTENBERG TOWN,40.80495,-74.2047,121,"$41,579,863.00 ","343,635"
4,HARRISON TOWN,40.745951,-74.15509,67,"$23,968,600.00 ","357,740"
5,HOBOKEN CITY,40.744851,-74.03294,900,"$714,523,702.00 ","793,915"
6,JERSEY CITY CITY,40.744851,-74.03294,1985,"$812,570,834.00 ","409,356"
7,KEARNY TOWN,40.744851,-74.03294,130,"$41,081,400.00 ","316,011"
8,NORTH BERGEN TWP,40.51057,-74.72472,380,"$133,846,892.00 ","352,229"
9,SECAUCUS TOWN,40.430006,-74.417344,174,"$72,421,107.00 ","416,213"
10,UNION CITY CITY,40.500254,-74.4257,244,"$78,552,299.00 ","321,936"
11,WEEHAWKEN TWP,40.500254,-74.4257,175,"$151,306,571.00 ","864,609"
12,WEST NEW YORK TOWN,40.500254,-74.4257,174,"$55,349,228.00 ","318,099"
1,ALEXANDRIA TWP,40.5908,-75.0261,45,"$21,210,950.00 ","471,354"
2,BETHLEHEM TWP,40.666552,-74.11768,42,"$17,459,800.00 ","415,710"
3,BLOOMSBURY BORO,40.803,-74.18895,7,"$1,804,000.00 ","257,714"
4,CALIFON BORO,40.848999,-74.27917,11,"$4,490,134.00 ","408,194"
5,CLINTON TOWN,40.879699,-74.14263,14,"$4,610,500.00 ","329,321"
6,CLINTON TWP,40.879699,-74.14263,138,"$59,467,480.00 ","430,924"
7,DELAWARE TWP,40.656302,-74.30371,31,"$15,310,500.00 ","493,887"
8,EAST AMWELL TWP,40.656302,-74.30371,25,"$9,823,325.00 ","392,933"
9,FLEMINGTON BORO,40.641852,-74.38533,5,"$1,540,000.00 ","308,000"
10,FRANKLIN TWP,40.849879,-73.97501,27,"$16,146,400.00 ","598,015"
11,FRENCHTOWN BORO,40.849879,-73.97501,10,"$3,022,500.00 ","302,250"
12,GLEN GARDNER BORO,40.650802,-74.32351,21,"$4,799,860.00 ","228,565"
13,HAMPTON BORO,40.80495,-74.2047,15,"$4,214,150.00 ","280,943"
14,HIGH BRIDGE BORO,40.745951,-74.15509,55,"$15,053,317.00 ","273,697"
15,HOLLAND TWP,40.744851,-74.03294,49,"$15,697,587.00 ","320,359"
16,KINGWOOD TWP,40.744851,-74.03294,26,"$9,583,000.00 ","368,577"
17,LAMBERTVILLE CITY,40.744851,-74.03294,24,"$10,186,000.00 ","424,417"
18,LEBANON BORO,40.744851,-74.03294,8,"$2,744,000.00 ","343,000"
19,LEBANON TWP,40.744851,-74.03294,50,"$20,551,200.00 ","411,024"
20,MILFORD BORO,40.587606,-75.10402,12,"$2,393,150.00 ","199,429"
21,RARITAN TWP,40.571302,-74.6374,297,"$114,602,729.00 ","385,868"
