2005 Residential Sales Price Per Municipality,,,,,,,
,,# of Sales,Total Sales Price,Avg Sale Price,,,
12,EATONTOWN BORO,116,"44,755,781","385,826",,,
13,ENGLISHTOWN BORO,42,"13,663,400","325,319",,,
14,FAIR HAVEN BORO,86,"56,272,488","654,331",,,
15,FARMINGDALE BORO,5,"1,709,500","341,900",,,
16,FREEHOLD BORO,82,"23,428,600","285,715",,,
17,FREEHOLD TWP,670,"233,705,057","348,814",,,
18,HAZLET TWP,231,"70,327,951","304,450",,,
19,HIGHLANDS BORO,165,"45,818,655","277,689",,,
20,HOLMDEL TWP,280,"181,561,290","648,433",,,
21,HOWELL TWP,883,"277,180,716","313,908",,,
22,INTERLAKEN BORO,14,"8,871,800","633,700",,,
23,KEANSBURG BORO,293,"58,770,057","200,580",,,
24,KEYPORT BORO,92,"24,718,100","268,675",,,
25,LITTLE SILVER BORO,124,"79,638,800","642,248",,,
26,LOCH ARBOUR VILLAGE,3,"3,740,000","1,246,667",,,
27,LONG BRANCH CITY,392,"147,536,634","376,369",,,
28,MANALAPAN TWP,729,"267,943,530","367,549",,,
29,MANASQUAN BORO,90,"51,974,090","577,490",,,
30,MARLBORO TWP,589,"291,776,315","495,376",,,
31,MATAWAN BORO,154,"51,419,614","333,894",,,
32,MIDDLETOWN TWP,897,"392,061,588","437,081",,,
33,MILLSTONE TWP,113,"68,370,150","605,046",,,
34,MONMOUTH BEACH BORO,37,"25,086,900","678,024",,,
35,NEPTUNE TWP,495,"150,321,430","303,680",,,
36,NEPTUNE CITY BORO,60,"15,201,860","253,364",,,
37,OCEAN TWP,122,"57,650,700","472,547",,,
38,OCEANPORT BORO,72,"38,004,300","527,838",,,
39,RED BANK BORO,219,"79,616,305","363,545",,,
40,ROOSEVELT BORO,14,"3,206,900","229,064",,,
41,RUMSON BORO,140,"188,438,576","1,345,990",,,
42,SEA BRIGHT BORO,69,"33,453,901","484,839",,,
43,SEA GIRT BORO,13,"15,470,000","1,190,000",,,
44,SHREWSBURY BORO,36,"18,549,700","515,269",,,
45,SHREWSBURY TWP,12,"2,327,500","193,958",,,
46,LAKE COMO BORO,55,"18,586,698","337,940",,,
47,SPRING LAKE BORO,32,"51,397,000","1,606,156",,,
48,SPRING LAKE HEIGHTS BORO,66,"31,010,885","469,862",,,
49,TINTON FALLS BORO,437,"140,613,285","321,770",,,
50,UNION BEACH BORO,146,"35,513,450","243,243",,,
51,UPPER FREEHOLD TWP,66,"32,000,650","484,858",,,
52,WALL TWP,407,"203,867,703","500,903",,,
53,WEST LONG BRANCH BORO,107,"51,083,205","477,413",,,
,MONMOUTH COUNTY,"9,873","4,133,720,592","418,689",,,
,,,,,,,
14,MORRIS COUNTY,,,,,,
01,BOONTON TOWN,113,"44,870,400","397,083",,,
02,BOONTON TWP,68,"36,238,703","532,922",,,
03,BULTER BORO,135,"46,180,480","342,078",,,
04,CHATHAM BORO,74,"48,322,450","653,006",,,
05,CHATHAM TWP,86,"57,023,428","663,063",,,
06,CHESTER BORO,7,"4,082,900","583,271",,,
07,CHESTER TWP,126,"97,654,311","775,034",,,
08,DENVILLE TWP,286,"115,320,301","403,218",,,
09,DOVER TOWN,275,"85,321,704","310,261",,,
10,EAST HANOVER TWP,99,"51,069,871","515,857",,,
11,FLORHAM PARK BORO,154,"87,907,875","570,830",,,
12,HANOVER TWP,170,"81,344,975","478,500",,,
13,HARDING TWP,63,"82,992,199","1,317,336",,,
14,JEFFERSON TWP,404,"129,239,218","319,899",,,
15,KINNELON BORO,155,"101,452,479","654,532",,,
16,LINCOLN PARK BORO,193,"68,034,922","352,513",,,
17,MADISON BORO,197,"138,431,012","702,695",,,
18,MENDHAM BORO,90,"67,050,037","745,000",,,
19,MENDHAM TWP,41,"38,893,081","948,612",,,
20,MINE HILL TWP,76,"23,880,925","314,223",,,
21,MONTVILLE TWP,305,"185,901,441","609,513",,,
22,MORRIS TWP,375,"206,671,069","551,123",,,
23,MORRIS PLAINS BORO,87,"40,173,299","461,762",,,
24,MORRISTOWN TOWN,265,"110,667,745","417,614",,,
25,MOUNTAIN LAKES BORO,95,"97,306,874","1,024,283",,,
26,MOUNT ARLINGTON BORO,122,"39,971,820","327,638",,,
27,MOUNT OLIVE TWP,300,"113,028,786","376,763",,,
28,NETCONG BORO,29,"8,292,149","285,936",,,
29,PARSIPPANY-TROY HILLS TWP,666,"261,289,385","392,326",,,
30,LONG HILL TWP,122,"64,668,512","530,070",,,
31,PEQUANNOCK TWP,208,"86,057,871","413,740",,,
32,RANDOLPH TWP,372,"202,024,888","543,078",,,
33,RIVERDALE BORO,31,"11,411,900","368,126",,,
34,ROCKAWAY BORO,97,"29,453,100","303,640",,,
35,ROCKAWAY TWP,481,"178,321,158","370,730",,,
36,ROXBURY TWP,402,"146,592,936","364,659",,,
37,VICTORY GARDENS BORO,22,"5,065,000","230,227",,,
38,WASHINGTON TWP,253,"122,464,275","484,049",,,
39,WHARTON BORO,114,"36,052,692","316,252",,,
 ,MORRIS COUNTY,"7,158","3,350,726,171","468,109",,,
,,,,,,,
15,OCEAN COUNTY,,,,,,
01,BARNEGAT TWP,378,"93,281,228","246,776",,,
02,BARNEGAT LIGHT BORO,28,"25,808,000","921,714",,,
03,BAY HEAD BORO,26,"39,555,000","1,521,346",,,
04,BEACH HAVEN BORO,112,"90,830,127","810,983",,,
05,BEACHWOOD BORO,179,"42,650,490","238,271",,,
06,BERKELEY BORO,"1,143","249,661,870","218,427",,,
07,BRICK TWP,"1,701","514,494,516","302,466",,,
08,TOMS RIVER TOWNSHIP,"2,002","667,318,609","333,326",,,
09,EAGLESWOOD TWP,20,"5,363,050","268,153",,,
10,HARVEY CEDARS BORO,42,"55,756,580","1,327,538",,,
11,ISLAND HEIGHTS BORO,14,"5,817,500","415,536",,,
12,JACKSON TWP,845,"273,243,356","323,365",,,
13,LACEY TWP,598,"178,723,624","298,869",,,
14,LAKEHURST BORO,69,"12,858,945","186,362",,,
15,LAKEWOOD TWP,"1,011","245,761,894","243,088",,,
16,LAVALLETTE BORO,65,"47,755,200","734,695",,,
17,LITTLE EGG HARBOR TWP,685,"154,736,699","225,893",,,
18,LONG BEACH TWP,129,"144,382,629","1,119,245",,,
